ruian_id,hp,rfs_date,rfs_mth_year,adresa,timestamp,naz_ulice,cis_dom,cis_or,pis_or,cis_pis_or,psc,naz_obec,naz_cast,naz_okres,naz_vusc,x_jtsk,y_jtsk,longitude,latitude,fbb_penetration_procenta,fbb_penetration_desetinne_cislo,fbb_customers,technologie,svj,neuspokojena_poptavka,potencialni_skore,sjv_flag,distance_to_praha,distance_to_liberec,distance_to_brno,distance_to_ostrava,cluster
11221461,66,01.07.2023,7_2023,"Trávník 475/33, Přerov",01.06.2025,Trávník,475,33.0,,33,75002,Přerov,Přerov I-Město,Přerov,Olomoucký kraj,"-533546,58","-1138630,95",17.46128781,49.4522053,"0,1364",0.1364,9,G-PON,"Společenství vlastníků jednotek domu č. p. 475 v Přerově, ulice Trávník 33",57,864.0,1,228.57737128965698,225.85138185743136,68.38301259019505,70.92984062147325,1
23310006,77,01.07.2023,7_2023,"Pionýrská 993/26, Olomouc",01.06.2025,Pionýrská,993,26.0,,26,77900,Olomouc,Nová Ulice,Olomouc,Olomoucký kraj,"-548406,84","-1123207,5",17.2362247,49.57716537,"0,1039",0.1039,8,G-PON,"Společenství vlastníků Pionýrská 993/26, Olomouc - Nová Ulice",69,896.0,1,208.83202265555792,204.43409692358745,62.401468135506875,78.84400581701595,3
24845302,60,01.07.2023,7_2023,"Dolní 3779/26, Prostějov",01.06.2025,Dolní,3779,26.0,,26,79601,Prostějov,Prostějov,Prostějov,Olomoucký kraj,"-557821,4","-1134523,65",17.122464,49.46745831,"0,2",0.2,12,G-PON,Společenství vlastníků bytů Dolní 26,48,800.0,1,204.8597580384305,206.76571760545636,48.190696365661445,91.2388440562425,4
23332204,65,01.07.2023,7_2023,"Lužická 420/16, Olomouc",01.06.2025,Lužická,420,16.0,,16,77900,Olomouc,Povel,Olomouc,Olomoucký kraj,"-547826,84","-1123118,61",17.24408354,49.57847791,"0,1385",0.1385,9,G-PON,"Společenství vlastníků jednotek domu Lužická 420/16, Olomouc",56,862.0,1,209.33594734490464,204.76658227862296,62.91889994352098,78.26053375717132,3
11240326,62,01.07.2023,7_2023,"Sokolská 2779/5, Přerov",01.06.2025,Sokolská,2779,5.0,,5,75002,Přerov,Přerov I-Město,Přerov,Olomoucký kraj,"-534791,57","-1137447,02",17.44261994,49.46172245,"0,2097",0.2097,13,G-PON,"Společenství vlastníků jednotek domu č.p. 2779 v Přerově, ulice Sokolská 5",49,790.0,1,226.95577715331092,224.13591770225523,67.60489987998018,71.43228131236715,1
11219360,93,01.07.2023,7_2023,"Budovatelů 240/3, Přerov",01.06.2025,Budovatelů,240,3.0,,3,75002,Přerov,Přerov I-Město,Přerov,Olomoucký kraj,"-533434,19","-1138536,8",17.46270579,49.45314525,"0,0108",0.0108,1,G-PON,"Společenství vlastníků jednotek domu čp.240, Budovatelů 3 v Přerově",92,989.0,1,228.64103654018487,225.85981322286972,68.5198416380412,70.78538281720084,1
11240318,62,01.07.2023,7_2023,"Sokolská 2778/3, Přerov",01.06.2025,Sokolská,2778,3.0,,3,75002,Přerov,Přerov I-Město,Přerov,Olomoucký kraj,"-534813,23","-1137500,53",17.44239378,49.46122474,"0,2419",0.2419,15,G-PON,"Společenství vlastníků jednotek domu č. p. 2778 v Přerově, ulice Sokolská 3",47,758.0,1,226.95794896932233,224.160099382254,67.56613646254733,71.4770382791079,1
23270161,91,01.07.2023,7_2023,"Politických vězňů 359/2, Olomouc",01.06.2025,Politických vězňů,359,2.0,,2,77900,Olomouc,Neředín,Olomouc,Olomoucký kraj,"-549032,47","-1120975,38",17.22454903,49.59657811,"0,0659",0.0659,6,G-PON,BYTOVÉ DRUŽSTVO AVION OLOMOUC,85,934.0,1,207.4189253752025,202.38060021188647,63.28144435274011,78.91248351798599,3
11220074,89,01.07.2023,7_2023,"Velká Dlážka 309/1, Přerov",01.06.2025,Velká Dlážka,309,1.0,,1,75002,Přerov,Přerov I-Město,Přerov,Olomoucký kraj,"-534702,37","-1138005,58",17.44458829,49.45680074,0,0.0,0,G-PON,"Společenství vlastníků jednotek domu č. p. 309 v Přerově, ulice Velká Dlážka 1",89,1000.0,1,227.26650386166375,224.6043751214068,67.49841191840503,71.62498090523896,1
23309784,78,01.07.2023,7_2023,"Kmochova 964/1, Olomouc",01.06.2025,Kmochova,964,1.0,,1,77900,Olomouc,Nová Ulice,Olomouc,Olomoucký kraj,"-548579,73","-1121811,7",17.23192959,49.58949973,"0,1667",0.1667,13,G-PON,"Společenství vlastníků jednotek domu Kmochova 964/1, Olomouc",65,833.0,1,208.14917207006087,203.29926667169232,63.114881131652126,78.6667838708413,3
