ruian_id,hp,rfs_date,rfs_mth_year,adresa,timestamp,naz_ulice,cis_dom,cis_or,pis_or,cis_pis_or,psc,naz_obec,naz_cast,naz_okres,naz_vusc,x_jtsk,y_jtsk,longitude,latitude,fbb_penetration_procenta,fbb_penetration_desetinne_cislo,fbb_customers,technologie,svj,neuspokojena_poptavka,potencialni_skore,sjv_flag,distance_to_praha,distance_to_liberec,distance_to_brno,distance_to_ostrava,cluster
2948079,64,01.07.2023,7_2023,"Jana Švermy 1709, Benešov",01.06.2025,Jana Švermy,1709,,,,25601,Benešov,Benešov,Benešov,Středočeský kraj,"-728427,63","-1078817,51",14.68690785,49.78586077,"0,2188",0.2188,14,G-PON,Společenství vlastníků jednotek domu čp. 1709 v ulici Jana Švermy,50,781.0,1,36.84775947763646,112.15362596326572,153.82834255103225,257.40386117011036,2
2948346,64,01.07.2023,7_2023,"Na Bezděkově 1739, Benešov",01.06.2025,Na Bezděkově,1739,,,,25601,Benešov,Benešov,Benešov,Středočeský kraj,"-728090,74","-1079177,03",14.69220781,49.78305893,"0,0938",0.0938,6,G-PON,,58,906.0,0,37.3056246972858,112.3695552094035,153.35172783858184,257.03480758120213,2
2950847,73,01.07.2023,7_2023,"Malé náměstí 2006, Benešov",01.06.2025,Malé náměstí,2006,,,,25601,Benešov,Benešov,Benešov,Středočeský kraj,"-728205,92","-1079260,79",14.69077691,49.78217497,"0,0137",0.0137,1,G-PON,,72,986.0,0,37.341379047633225,112.48873842809037,153.40476483420227,257.14174221570045,2
12228524,60,01.07.2023,7_2023,"Palackého 550, Tanvald",01.06.2025,Palackého,550,,,,46841,Tanvald,Tanvald,Jablonec nad Nisou,Liberecký kraj,"-671608,71","-979579,29",15.2979488,50.73641287,0,0.0,0,G-PON,,60,1000.0,0,95.62276618764349,17.53409298903996,195.46397016272076,234.54978338716612,1
12228613,71,01.07.2023,7_2023,"U Školky 560, Tanvald",01.06.2025,U Školky,560,,,,46841,Tanvald,Tanvald,Jablonec nad Nisou,Liberecký kraj,"-671756,95","-979302,22",15.29537602,50.73871781,"0,0986",0.0986,7,G-PON,Společenství vlastníků Tanvald 560,64,901.0,1,95.70248665995909,17.308154096504733,195.77641239591347,234.82166543319556,1
12228796,72,01.07.2023,7_2023,"Horská 578, Tanvald",01.06.2025,Horská,578,,,,46841,Tanvald,Tanvald,Jablonec nad Nisou,Liberecký kraj,"-671789,81","-979590,56",15.29542352,50.73610938,"0,2778",0.2778,20,G-PON,,52,722.0,0,95.48221532888306,17.365696511298804,195.52159391209923,234.69787347784688,1
25823175,70,01.07.2023,7_2023,"Braniborská 562, Milovice",01.06.2025,Braniborská,562,,,,28924,Milovice,Mladá,Nymburk,Středočeský kraj,"-709307,39","-1031778,45",14.86495018,50.22775015,"0,2714",0.2714,19,G-PON,Společenství vlastníků jednotek Braniborská č. p. 562   Milovice,51,729.0,1,34.910982365585916,61.39085773229772,170.20993475962538,247.61371373711182,0
26285002,71,01.07.2023,7_2023,"Topolová 909, Milovice",01.06.2025,Topolová,909,,,,28924,Milovice,Mladá,Nymburk,Středočeský kraj,"-709462,93","-1030867,81",14.86112338,50.23568501,"0,2958",0.2958,21,G-PON,Společenství vlastníků bytů čp. 909 v Milovicích,50,704.0,1,35.10946193404554,60.59035916885466,171.0021629078538,248.02607297978426,3
26600421,70,01.07.2023,7_2023,"Komenského 580, Milovice",01.06.2025,Komenského,580,,,,28924,Milovice,Mladá,Nymburk,Středočeský kraj,"-709366,63","-1032009,5",14.86454946,50.22562111,0,0.0,0,G-PON,Společenství vlastníků jednotek Komenského 580,70,1000.0,1,34.77219015278728,61.62823850207885,170.07362592392712,247.6040906559602,0
26644304,62,01.07.2023,7_2023,"Jiráskova 2222, Benešov",01.06.2025,Jiráskova,2222,,,,25601,Benešov,Benešov,Benešov,Středočeský kraj,"-728321,52","-1079380,37",14.68940634,49.78097126,"0,0806",0.0806,5,G-PON,Společenství vlastníků pro dům čp 2222 k.ú. Benešov,57,919.0,1,37.41089918504616,112.64160606561089,153.4392697012412,257.2458315596232,2
27774261,71,01.07.2023,7_2023,"Lesní 535, Milovice",01.06.2025,Lesní,535,,,,28924,Milovice,Mladá,Nymburk,Středočeský kraj,"-708866,6","-1031521,86",14.87060634,50.2305542,"0,1268",0.1268,9,G-PON,Společenství vlastníků jednotek Lesní 535,62,873.0,1,35.41507222874334,60.99957999343251,170.117437007313,247.26563531436028,4
79619746,57,01.07.2023,7_2023,"Karla Nového 2409, Benešov",01.06.2025,Karla Nového,2409,,,,25601,Benešov,Benešov,Benešov,Středočeský kraj,"-728524,2","-1079142,49",14.68617807,49.78284922,"0,1404",0.1404,8,G-PON,,49,860.0,0,37.11603175414621,112.4916714427863,153.73731219081816,257.4696441567908,2
